 VARIABLES = "x", "y" 
 ZONE I=         129 , J=          95 F=POINT
  0.10000000E+01  0.00000000E+00
  0.99939775E+00  0.86246160E-04
  0.99759239E+00  0.34417791E-03
  0.99458826E+00  0.77209610E-03
  0.99039263E+00  0.13670451E-02
  0.98501563E+00  0.21249729E-02
  0.97847015E+00  0.30407801E-02
  0.97077203E+00  0.41084522E-02
  0.96193975E+00  0.53210338E-02
  0.95199466E+00  0.66708811E-02
  0.94096065E+00  0.81496350E-02
  0.92886430E+00  0.97484030E-02
  0.91573483E+00  0.11457822E-01
  0.90160376E+00  0.13268198E-01
  0.88650519E+00  0.15169525E-01
  0.87047559E+00  0.17151568E-01
  0.85355335E+00  0.19204047E-01
  0.83577949E+00  0.21316404E-01
  0.81719667E+00  0.23478130E-01
  0.79784966E+00  0.25678549E-01
  0.77778512E+00  0.27906934E-01
  0.75705135E+00  0.30152429E-01
  0.73569834E+00  0.32403994E-01
  0.71377754E+00  0.34650449E-01
  0.69134170E+00  0.36880363E-01
  0.66844493E+00  0.39082058E-01
  0.64514232E+00  0.41243538E-01
  0.62149006E+00  0.43352503E-01
  0.59754515E+00  0.45396302E-01
  0.57336527E+00  0.47361955E-01
  0.54900855E+00  0.49236223E-01
  0.52453381E+00  0.51005561E-01
  0.49999997E+00  0.52656293E-01
  0.47546613E+00  0.54174647E-01
  0.45099139E+00  0.55546906E-01
  0.42663470E+00  0.56759510E-01
  0.40245482E+00  0.57799254E-01
  0.37850991E+00  0.58653459E-01
  0.35485765E+00  0.59310120E-01
  0.33155504E+00  0.59758123E-01
  0.30865824E+00  0.59987422E-01
  0.28622246E+00  0.59989233E-01
  0.26430157E+00  0.59756164E-01
  0.24294862E+00  0.59282392E-01
  0.22221482E+00  0.58563761E-01
  0.20215032E+00  0.57597898E-01
  0.18280338E+00  0.56384228E-01
  0.16422048E+00  0.54924026E-01
  0.14644660E+00  0.53220373E-01
  0.12952439E+00  0.51278073E-01
  0.11349476E+00  0.49103603E-01
  0.98396182E-01  0.46704885E-01
  0.84265172E-01  0.44091169E-01
  0.71135700E-01  0.41272771E-01
  0.59039339E-01  0.38260844E-01
  0.48005346E-01  0.35067126E-01
  0.38060203E-01  0.31703610E-01
  0.29227955E-01  0.28182335E-01
  0.21529837E-01  0.24515022E-01
  0.14984361E-01  0.20712811E-01
  0.96073588E-02  0.16786093E-01
